assessmentid,empid,courseid,skillid,assessment_score,max_score,due_date,test_taken,test_completed
1,1.0,1,1,85.0,100,2024-12-31,2024-11-01,2024-11-15
2,1.0,1,2,90.0,100,2024-12-31,2024-11-05,2024-11-15
3,2.0,1,3,75.0,100,2024-12-31,2024-11-10,2024-11-20
4,1.0,2,1,88.0,100,2024-12-31,2024-11-01,2024-11-15
5,3.0,2,2,80.0,100,2024-12-31,2024-11-02,2024-11-16
6,3.0,2,3,92.0,100,2024-12-31,2024-11-07,2024-11-17
7,4.0,3,4,70.0,100,2024-12-31,2024-11-01,2024-11-15
8,5.0,3,5,95.0,100,2024-12-31,2024-11-05,2024-11-20
9,6.0,4,6,82.0,100,2024-12-31,2024-11-01,2024-11-15
10,7.0,4,7,78.0,100,2024-12-31,2024-11-02,2024-11-18
13,9.0,5,10,85.0,100,2024-12-31,2024-11-03,2024-11-21
14,10.0,6,11,70.0,100,2024-12-31,2024-11-01,2024-11-15
17,11.0,7,14,92.0,100,2024-12-31,2024-11-04,2024-11-20
19,12.0,8,16,90.0,100,2024-12-31,2024-11-05,2024-11-21
23,14.0,9,20,75.0,100,2024-12-31,2024-11-02,2024-11-17
25,15.0,10,22,88.0,100,2024-12-31,2024-11-01,2024-11-15
28,16.0,11,25,80.0,100,2024-12-31,2024-11-05,2024-11-20
30,17.0,12,27,95.0,100,2024-12-31,2024-11-01,2024-11-15
32,18.0,13,29,90.0,100,2024-12-31,2024-11-02,2024-11-20
4,2.0,2,1,78.0,100,2024-12-31,2024-11-03,2024-11-21
5,3.0,2,2,82.0,100,2024-12-31,2024-11-07,2024-11-17
6,3.0,2,3,92.0,100,2024-12-31,2024-11-11,2024-11-18
7,4.0,3,4,70.0,100,2024-12-31,2024-11-02,2024-11-16
10,6.0,4,7,75.0,100,2024-12-31,2024-11-04,2024-11-19
11,7.0,4,8,88.0,100,2024-12-31,2024-11-03,2024-11-18
12,8.0,5,9,90.0,100,2024-12-31,2024-11-02,2024-11-21
13,9.0,5,10,85.0,100,2024-12-31,2024-11-04,2024-11-22
15,10.0,6,12,65.0,100,2024-12-31,2024-11-05,2024-11-20
16,11.0,7,14,92.0,100,2024-12-31,2024-11-02,2024-11-20
17,12.0,8,16,90.0,100,2024-12-31,2024-11-05,2024-11-21
18,13.0,9,19,78.0,100,2024-12-31,2024-11-01,2024-11-15
19,14.0,9,20,75.0,100,2024-12-31,2024-11-03,2024-11-17
20,15.0,10,22,88.0,100,2024-12-31,2024-11-01,2024-11-15
21,16.0,11,25,80.0,100,2024-12-31,2024-11-05,2024-11-20
22,17.0,12,27,95.0,100,2024-12-31,2024-11-01,2024-11-15
23,18.0,13,29,90.0,100,2024-12-31,2024-11-02,2024-11-20
24,1.0,2,2,89.0,100,2024-12-31,2024-11-10,2024-11-20
25,2.0,3,4,74.0,100,2024-12-31,2024-11-15,2024-11-25
26,3.0,4,6,81.0,100,2024-12-31,2024-11-20,2024-11-30
27,4.0,5,9,77.0,100,2024-12-31,2024-11-01,2024-11-10
28,5.0,6,11,83.0,100,2024-12-31,2024-11-02,2024-11-12
29,6.0,7,14,79.0,100,2024-12-31,2024-11-03,2024-11-18
30,7.0,8,16,91.0,100,2024-12-31,2024-11-04,2024-11-21
31,8.0,9,19,88.0,100,2024-12-31,2024-11-05,2024-11-22
32,9.0,10,20,73.0,100,2024-12-31,2024-11-06,2024-11-25
33,10.0,11,21,86.0,100,2024-12-31,2024-11-07,2024-11-23
34,11.0,12,24,90.0,100,2024-12-31,2024-11-08,2024-11-24
35,12.0,13,27,94.0,100,2024-12-31,2024-11-09,2024-11-29
36,13.0,14,28,76.0,100,2024-12-31,2024-11-10,2024-11-25
37,14.0,15,29,82.0,100,2024-12-31,2024-11-11,2024-11-26
38,15.0,16,30,80.0,100,2024-12-31,2024-11-12,2024-11-27
39,16.0,17,26,89.0,100,2024-12-31,2024-11-13,2024-11-28
40,17.0,18,25,78.0,100,2024-12-31,2024-11-14,2024-11-29
41,18.0,19,23,85.0,100,2024-12-31,2024-11-15,2024-11-30
42,19.0,20,22,93.0,100,2024-12-31,2024-11-16,2024-12-01
43,1.0,3,5,87.0,100,2024-12-31,2024-11-15,2024-11-25
44,2.0,2,4,80.0,100,2024-12-31,2024-11-20,2024-11-30
45,3.0,1,1,91.0,100,2024-12-31,2024-11-25,2024-12-01
46,4.0,4,6,76.0,100,2024-12-31,2024-11-05,2024-11-20
47,5.0,5,8,84.0,100,2024-12-31,2024-11-10,2024-11-21
48,6.0,6,12,70.0,100,2024-12-31,2024-11-12,2024-11-22
49,7.0,7,15,92.0,100,2024-12-31,2024-11-20,2024-11-28
50,8.0,8,16,95.0,100,2024-12-31,2024-11-03,2024-11-18
51,9.0,9,19,82.0,100,2024-12-31,2024-11-07,2024-11-23
52,10.0,10,21,79.0,100,2024-12-31,2024-11-11,2024-11-26
53,11.0,11,24,90.0,100,2024-12-31,2024-11-15,2024-11-30
54,12.0,12,25,75.0,100,2024-12-31,2024-11-16,2024-12-01
55,13.0,13,28,88.0,100,2024-12-31,2024-11-17,2024-12-02
56,14.0,14,29,93.0,100,2024-12-31,2024-11-18,2024-12-03
57,15.0,15,30,77.0,100,2024-12-31,2024-11-19,2024-12-04
58,16.0,16,26,81.0,100,2024-12-31,2024-11-20,2024-12-05
59,17.0,17,27,89.0,100,2024-12-31,2024-11-21,2024-12-06
60,18.0,18,23,78.0,100,2024-12-31,2024-11-22,2024-12-07
61,19.0,19,22,85.0,100,2024-12-31,2024-11-23,2024-12-08
